 count, bin midpoint, error (1 stddev)
0, -0.0025, 0
0, 0.0025, 0
0, 0.0075, 0
0, 0.0125, 0
0, 0.0175, 0
0, 0.0225, 0
0, 0.0275, 0
0, 0.0325, 0
0, 0.0375, 0
0, 0.0425, 0
0, 0.0475, 0
0, 0.0525, 0
0, 0.0575, 0
0, 0.0625, 0
0, 0.0675, 0
0, 0.0725, 0
0, 0.0775, 0
0, 0.0825, 0
0, 0.0875, 0
18670, 0.0925, 136.638
63946, 0.0975, 252.875
60448, 0.1025, 245.862
56798, 0.1075, 238.323
53986, 0.1125, 232.349
51330, 0.1175, 226.561
47963, 0.1225, 219.005
45528, 0.1275, 213.373
43691, 0.1325, 209.024
41734, 0.1375, 204.289
39531, 0.1425, 198.824
37978, 0.1475, 194.879
36042, 0.1525, 189.847
35004, 0.1575, 187.094
33190, 0.1625, 182.181
32060, 0.1675, 179.053
30839, 0.1725, 175.61
29773, 0.1775, 172.549
28409, 0.1825, 168.55
27568, 0.1875, 166.036
26388, 0.1925, 162.444
25431, 0.1975, 159.471
25070, 0.2025, 158.335
24034, 0.2075, 155.029
23052, 0.2125, 151.829
22271, 0.2175, 149.235
21803, 0.2225, 147.658
21094, 0.2275, 145.238
20308, 0.2325, 142.506
19681, 0.2375, 140.289
19204, 0.2425, 138.578
18503, 0.2475, 136.026
18024, 0.2525, 134.253
17871, 0.2575, 133.682
17212, 0.2625, 131.195
16556, 0.2675, 128.67
16360, 0.2725, 127.906
16008, 0.2775, 126.523
15714, 0.2825, 125.355
14709, 0.2875, 121.281
14568, 0.2925, 120.698
14296, 0.2975, 119.566
13952, 0.3025, 118.119
13606, 0.3075, 116.645
13341, 0.3125, 115.503
12844, 0.3175, 113.331
12585, 0.3225, 112.183
12422, 0.3275, 111.454
11982, 0.3325, 109.462
11746, 0.3375, 108.379
11493, 0.3425, 107.205
11174, 0.3475, 105.707
10969, 0.3525, 104.733
10637, 0.3575, 103.136
10357, 0.3625, 101.769
10289, 0.3675, 101.435
9962, 0.3725, 99.8098
9947, 0.3775, 99.7346
9726, 0.3825, 98.6205
9407, 0.3875, 96.9897
9253, 0.3925, 96.1925
8964, 0.3975, 94.6784
8846, 0.4025, 94.0532
8801, 0.4075, 93.8136
8358, 0.4125, 91.4221
8170, 0.4175, 90.3881
8172, 0.4225, 90.3991
7981, 0.4275, 89.3364
7746, 0.4325, 88.0114
7657, 0.4375, 87.5043
7573, 0.4425, 87.023
7426, 0.4475, 86.1742
7441, 0.4525, 86.2612
7098, 0.4575, 84.2496
7074, 0.4625, 84.1071
6894, 0.4675, 83.0301
6746, 0.4725, 82.134
6517, 0.4775, 80.7279
6579, 0.4825, 81.111
6582, 0.4875, 81.1295
6338, 0.4925, 79.6116
f6352, 0.4975, 79.6994
f6126, 0.5025, 78.2688
f5989, 0.5075, 77.3886
f7335, 0.5125, 85.6446
f5851, 0.5175, 76.4918
f5552, 0.5225, 74.5117
f5510, 0.5275, 74.2294
f5559, 0.5325, 74.5587
f5412, 0.5375, 73.5663
f5360, 0.5425, 73.212
f5283, 0.5475, 72.6842
f5152, 0.5525, 71.7774
f5126, 0.5575, 71.5961
f5013, 0.5625, 70.8025
f4897, 0.5675, 69.9786
f4841, 0.5725, 69.5773
f4763, 0.5775, 69.0145
f4687, 0.5825, 68.4617
f4551, 0.5875, 67.4611
f4619, 0.5925, 67.9632
f4483, 0.5975, 66.9552
f4299, 0.6025, 65.5668
f4309, 0.6075, 65.643
f4391, 0.6125, 66.2646
f4140, 0.6175, 64.3428
f4196, 0.6225, 64.7765
f3993, 0.6275, 63.1902
f3965, 0.6325, 62.9682
f4065, 0.6375, 63.7574
f3821, 0.6425, 61.8142
f3835, 0.6475, 61.9274
f3789, 0.6525, 61.5549
f3775, 0.6575, 61.441
f3660, 0.6625, 60.4979
f3685, 0.6675, 60.7042
f3612, 0.6725, 60.0999
f3609, 0.6775, 60.075
f3529, 0.6825, 59.4054
f3413, 0.6875, 58.4209
f3393, 0.6925, 58.2495
f3416, 0.6975, 58.4466
f3358, 0.7025, 57.9483
f3296, 0.7075, 57.4108
f3170, 0.7125, 56.3028
f3244, 0.7175, 56.9561
f3250, 0.7225, 57.0088
f3145, 0.7275, 56.0803
f2991, 0.7325, 54.69
f3016, 0.7375, 54.9181
f3021, 0.7425, 54.9636
f2939, 0.7475, 54.2125
f2816, 0.7525, 53.066
f2821, 0.7575, 53.1131
f2779, 0.7625, 52.7162
f2807, 0.7675, 52.9811
f2790, 0.7725, 52.8205
f2774, 0.7775, 52.6688
f2782, 0.7825, 52.7447
f2644, 0.7875, 51.4198
f2645, 0.7925, 51.4296
f2513, 0.7975, 50.1298
f2524, 0.8025, 50.2394
f2537, 0.8075, 50.3686
f2450, 0.8125, 49.4975
f2391, 0.8175, 48.8979
f2433, 0.8225, 49.3254
f2389, 0.8275, 48.8774
f2450, 0.8325, 49.4975
f2388, 0.8375, 48.8672
f2312, 0.8425, 48.0833
f2201, 0.8475, 46.9148
f2239, 0.8525, 47.3181
f2181, 0.8575, 46.7012
f2167, 0.8625, 46.551
f2187, 0.8675, 46.7654
f2158, 0.8725, 46.4543
f2181, 0.8775, 46.7012
f2136, 0.8825, 46.2169
f1994, 0.8875, 44.6542
f2078, 0.8925, 45.5851
f2046, 0.8975, 45.2327
f2047, 0.9025, 45.2438
f1989, 0.9075, 44.5982
f1963, 0.9125, 44.3058
f1893, 0.9175, 43.5086
f1899, 0.9225, 43.5775
f1884, 0.9275, 43.4051
f1913, 0.9325, 43.7379
f1693, 0.9375, 41.1461
f1776, 0.9425, 42.1426
f1856, 0.9475, 43.0813
f1745, 0.9525, 41.7732
f1740, 0.9575, 41.7133
f1741, 0.9625, 41.7253
f1679, 0.9675, 40.9756
f1742, 0.9725, 41.7373
f1724, 0.9775, 41.5211
f1643, 0.9825, 40.5339
f1641, 0.9875, 40.5093
f1595, 0.9925, 39.9375
f1610, 0.9975, 40.1248
f157509, 1.0025, 396.874